board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,Noah 1,2022-09-16 15:07:54,6a+,6a,16.2,1,False,1,1,False,True,
tension,35,DS 3,2022-09-16 15:11:01,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Yumping,2022-09-17 00:00:00,,6c,19.8125,1,True,1,1,False,False,
tension,35,Laser Camera,2022-09-17 14:21:54,5a,5a,12.9813,1,False,1,1,False,True,
tension,35,Laser Camera,2022-09-17 14:23:27,5a,5a,12.9813,1,True,1,1,False,True,
tension,35,TOOTH,2022-09-17 14:24:45,5b,5b,14.0,1,True,1,1,False,True,
tension,35,Holler,2022-09-17 14:28:35,6a,6a,16.0,1,True,1,1,False,True,
tension,35,big fun,2022-09-17 14:33:25,6b,6b,18.0714,1,True,1,1,False,True,
tension,35,let's get warm,2022-09-25 16:03:02,5b,5b,14.0,1,False,1,1,False,True,
tension,35,warm up stretch,2022-09-25 16:04:42,5b,5b,13.8824,1,False,3,5,True,True,
tension,35,gymtasticness,2022-09-25 16:09:25,6a,5c,15.0,1,True,1,1,False,True,
tension,35,Nard Dawg,2022-09-25 16:30:44,5a,5a,13.1629,1,False,1,1,False,True,
tension,35,Just for Funsies,2022-09-25 16:41:36,5b,5a,13.2796,1,False,2,2,True,True,
tension,35,Gabes flappy pants,2022-09-25 16:46:19,5a,5a,13.0,1,False,2,2,True,True,
tension,35,Look Both Ways,2022-09-25 17:01:47,5a,5a,13.0559,1,True,1,1,False,True,
tension,35,Look Both Ways,2022-09-25 17:06:33,5a,5a,13.0559,1,False,1,1,False,True,
tension,35,JUG,2022-09-25 17:26:10,6a,6a,16.0,1,False,2,2,True,True,
tension,35,Bubbles,2022-09-25 17:37:23,6a,6a+,17.0,1,False,1,1,False,True,
tension,35,Villan,2022-09-25 17:46:54,6a,6a+,17.0,1,False,1,1,False,True,
tension,35,The Lone Foot,2022-09-25 17:55:24,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Crossy Road,2022-09-25 18:00:33,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Sweet Gaston,2022-09-25 18:22:58,6b,6b,18.0,2,False,1,2,False,True,
tension,35,Bromance XIX,2022-09-25 18:34:43,6b+,6b+,18.5842,2,True,1,2,False,True,
tension,35,eatjake’s kale salad,2022-10-01 00:00:00,,6c,19.9442,1,False,1,1,False,False,
tension,35,Other Voices,2022-10-01 16:06:27,5a,5a,13.2,1,True,1,1,False,True,
tension,35,Emperical,2022-10-01 16:08:28,6a,6a,15.5,1,False,1,1,False,True,
tension,35,Starter One,2022-10-01 16:10:33,4c,4b,11.0,1,True,1,1,False,True,
tension,35,After Benny (S&N),2022-10-01 16:13:33,6a,5c,15.125,1,False,1,1,False,True,
tension,35,PUSHER 5 (MC),2022-10-01 16:18:57,6a,6a,16.0,1,True,1,1,False,True,
tension,35,blade jumper,2022-10-01 16:21:05,6a,6a,16.0,1,True,1,1,False,True,
tension,35,Bait and Switch,2022-10-01 16:37:23,6b,6b,18.0,1,True,1,1,False,True,
tension,35,OK Boomer,2022-10-01 16:42:29,6b,6b,18.145,2,False,1,2,False,True,
tension,35,s.a.m.e.,2022-10-01 16:53:02,6b,6b,17.9327,1,False,1,1,False,True,
tension,35,The Chair,2022-10-01 17:31:32,6c,6c,19.9662,1,False,1,1,False,True,
tension,35,Jiggles,2022-10-03 00:00:00,,6a,16.0,1,True,1,1,False,False,
tension,35,Steel Drum,2022-10-03 00:00:00,,6a,16.0,1,True,1,1,False,False,
tension,35,the creators,2022-10-03 00:00:00,,6a,16.0,1,False,1,1,False,False,
tension,35,Bob’s knob,2022-10-03 00:00:00,,6a,16.3043,1,True,1,1,False,False,
tension,35,PUSHER 3 (MC),2022-10-03 00:00:00,,5c,14.6667,1,False,1,1,False,False,
tension,35,PUSHER 5 (MC),2022-10-03 00:00:00,,6a,16.0,1,True,2,2,True,False,
tension,35,the creators,2022-10-03 00:00:00,,6a,16.0,1,True,1,1,False,False,
tension,35,Baby Snapper,2022-10-03 00:00:00,,6a,16.2,1,False,1,1,False,False,
tension,35,Word Goes Around,2022-10-03 18:16:10,5c,5c,15.0,1,False,3,3,True,True,
tension,35,Kestrel #2,2022-10-03 18:17:11,5c,5c,14.6818,1,True,1,1,False,True,
tension,35,bigfun - short board edit,2022-10-03 18:18:02,6a,6a,16.0426,1,True,2,2,True,True,
tension,35,Hobbyhorse,2022-10-03 18:26:17,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Bumble,2022-10-03 18:27:45,6a+,6a,16.1795,1,False,1,1,False,True,
tension,35,Body Tension Progression 1,2022-10-03 18:31:09,6a,6a,15.8889,1,False,1,1,False,True,
